City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,East London,ZA,66.88,light rain,-33.0153,27.9116,Tu Casa
3,Mogadishu,SO,78.73,overcast clouds,2.0371,45.3438,Hotel Juba
8,Busselton,AU,74.93,overcast clouds,-33.65,115.3333,Observatory Guest House
10,Eldorado,BR,86.09,clear sky,-23.7869,-54.2836,Villa Verde Hotel
11,Mar Del Plata,AR,66.09,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
13,George Town,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
15,Hilo,US,71.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
16,Jurado,CO,75.47,moderate rain,7.1053,-77.7641,
20,Ribeira Grande,PT,60.66,few clouds,38.5167,-28.7,Quinta da Meia Eira
22,Castro,BR,61.36,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
25,Buluang,PH,80.49,overcast clouds,13.3068,123.3425,Enon Beach Resort
29,Port Lincoln,AU,65.68,few clouds,-34.7333,135.8667,Port Lincoln Hotel
30,Hobart,AU,67.05,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
31,Hambantota,LK,73.74,broken clouds,6.1241,81.1185,Bungalow 63
32,Nishihara,JP,67.68,light rain,26.1842,127.7558,Minshuku Agaihama
33,Port Macquarie,AU,77.9,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
35,La Primavera,CO,85.21,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
36,Kapaa,US,75.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
37,Cap Malheureux,MU,79.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
38,Punta Arenas,CL,60.91,scattered clouds,-53.15,-70.9167,Hotel Hain
39,Zambezi,ZM,65.66,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
40,Rikitea,PF,77.59,overcast clouds,-23.1203,-134.9692,People ThankYou
41,Kilindoni,TZ,81.5,overcast clouds,-7.9139,39.6668,Bustani B&B
44,Luwuk,ID,85.95,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
47,Lompoc,US,60.13,moderate rain,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
50,Cockburn Town,TC,78.98,clear sky,21.4612,-71.1419,Osprey Beach Hotel
56,Ponta Do Sol,PT,66.7,overcast clouds,32.6667,-17.1,Hotel do Campo
57,Avarua,CK,77.05,moderate rain,-21.2078,-159.775,Paradise Inn
59,Rosarito,MX,66.63,broken clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
61,Vaini,TO,86.16,few clouds,-21.2,-175.2,Keleti Beach Resort
62,Arraial Do Cabo,BR,75.56,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
63,Keffi,NG,75.51,clear sky,8.8486,7.8736,Imam Family
66,Quatre Cocos,MU,79.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
67,Puerto Ayora,EC,69.89,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
69,Butaritari,KI,81.07,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
71,Maumere,ID,85.86,overcast clouds,-8.6199,122.2111,Sylvia Hotel
72,Thinadhoo,MV,80.2,broken clouds,0.5333,72.9333,
77,Bol,TD,69.51,clear sky,13.4586,14.7147,Hotel 3 Etoiles
78,Port Alfred,ZA,66.02,light rain,-33.5906,26.891,The Halyards Hotel
