City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Xining,CN,2021-12-14 20:49:10,36.6167,101.7667,22.33,46,87,2.3
1,Nouadhibou,MR,2021-12-14 20:51:08,20.931,-17.0347,66.18,77,0,14.97
2,Tiarei,PF,2021-12-14 20:51:08,-17.5333,-149.3333,84.22,76,14,10.18
3,Coquimbo,CL,2021-12-14 20:46:18,-29.9533,-71.3436,67.73,55,0,13.8
4,Lebu,CL,2021-12-14 20:48:10,-37.6167,-73.65,59.56,67,0,14.05
5,Lethem,GY,2021-12-14 20:51:09,3.3803,-59.7968,85.1,66,100,11.1
6,Sinnamary,GF,2021-12-14 20:51:09,5.3833,-52.95,78.53,87,100,8.1
7,Iqaluit,CA,2021-12-14 20:51:09,63.7506,-68.5145,-4.27,71,75,9.22
8,Severo-Yeniseyskiy,RU,2021-12-14 20:51:10,60.3725,93.0408,-25.08,99,21,3.42
9,Tuktoyaktuk,CA,2021-12-14 20:51:10,69.4541,-133.0374,-16.6,69,90,5.75
10,Atuona,PF,2021-12-14 20:51:10,-9.8,-139.0333,78.96,73,8,16.51
11,Kapaa,US,2021-12-14 20:51:11,22.0752,-159.319,79.12,83,20,4.0
12,Lompoc,US,2021-12-14 20:47:50,34.6391,-120.4579,52.38,88,90,8.99
13,Porto Velho,BR,2021-12-14 20:51:11,-8.7619,-63.9039,80.65,78,40,2.3
14,Staraya Mayna,RU,2021-12-14 20:51:12,54.6,48.95,23.11,85,100,7.25
15,Torbay,CA,2021-12-14 20:51:12,47.6666,-52.7314,30.76,93,90,13.8
16,Monrovia,LR,2021-12-14 20:51:12,6.3005,-10.7969,80.37,79,49,9.1
17,Cherskiy,RU,2021-12-14 20:51:13,68.75,161.3,-23.53,79,100,2.86
18,Rikitea,PF,2021-12-14 20:51:13,-23.1203,-134.9692,77.81,75,3,5.53
19,Coihaique,CL,2021-12-14 20:46:20,-45.5752,-72.0662,65.01,44,75,9.22
20,Saint-Joseph,RE,2021-12-14 20:51:14,-21.3667,55.6167,75.58,77,19,13.53
21,Orange,US,2021-12-14 20:50:57,33.7,-117.7675,60.22,92,90,5.01
22,Mongoumba,CF,2021-12-14 20:51:14,3.6415,18.5936,80.92,54,99,1.14
23,East London,ZA,2021-12-14 20:51:15,-33.0153,27.9116,67.98,73,93,8.3
24,Hobart,AU,2021-12-14 20:50:31,-42.8794,147.3294,60.12,80,75,1.01
25,Jamestown,US,2021-12-14 20:47:33,42.097,-79.2353,51.12,45,1,6.91
26,Castro,BR,2021-12-14 20:51:15,-24.7911,-50.0119,69.22,94,100,5.91
27,New Norfolk,AU,2021-12-14 20:51:16,-42.7826,147.0587,59.76,69,100,2.3
28,Ribeira Grande,PT,2021-12-14 20:51:16,38.5167,-28.7,59.4,72,75,4.61
29,Barrow,US,2021-12-14 20:51:17,71.2906,-156.7887,-16.58,69,40,0.0
30,Ascension,US,2021-12-14 20:51:17,30.2169,-90.9001,78.03,86,75,0.0
31,Punta Arenas,CL,2021-12-14 20:51:17,-53.15,-70.9167,59.11,38,20,31.07
32,Mar Del Plata,AR,2021-12-14 20:48:36,-38.0023,-57.5575,68.02,85,0,18.99
33,Davila,PH,2021-12-14 20:51:18,18.4726,120.5763,74.23,73,38,8.7
34,Sorong,ID,2021-12-14 20:51:18,-0.8833,131.25,79.3,84,89,6.4
35,Albany,US,2021-12-14 20:48:35,42.6001,-73.9662,46.81,45,3,4.81
36,Mokhsogollokh,RU,2021-12-14 20:51:19,61.4681,128.9203,-24.9,88,100,10.33
37,Tual,ID,2021-12-14 20:51:19,-5.6667,132.75,83.8,72,79,6.13
38,Ushuaia,AR,2021-12-14 20:46:43,-54.8,-68.3,53.26,50,75,32.21
39,Husavik,IS,2021-12-14 20:51:19,66.0449,-17.3389,39.11,79,99,11.77
40,Port Alfred,ZA,2021-12-14 20:51:20,-33.5906,26.891,66.4,77,35,15.26
41,Quatre Cocos,MU,2021-12-14 20:51:20,-20.2078,57.7625,78.1,75,23,14.81
42,Arman,RU,2021-12-14 20:51:20,59.7,150.1667,2.01,90,100,10.67
43,Sola,VU,2021-12-14 20:51:21,-13.8833,167.55,81.25,82,100,24.45
44,Hasaki,JP,2021-12-14 20:52:21,35.7333,140.8333,30.6,81,0,4.79
45,Olinda,BR,2021-12-14 20:52:21,-8.0089,-34.8553,83.93,65,75,8.05
46,Nerchinskiy Zavod,RU,2021-12-14 20:52:22,51.3088,119.61,-18.54,100,96,2.48
47,Salalah,OM,2021-12-14 20:52:22,17.0151,54.0924,71.73,54,0,2.55
48,Yellowknife,CA,2021-12-14 20:47:37,62.456,-114.3525,-7.08,77,75,0.0
49,Shimoda,JP,2021-12-14 20:52:22,34.6667,138.95,52.7,60,0,21.12
50,Kysyl-Syr,RU,2021-12-14 20:52:23,63.8986,122.7617,-36.08,96,89,7.38
51,Lokosovo,RU,2021-12-14 20:52:23,61.1333,74.8167,6.89,95,100,11.25
52,Brae,GB,2021-12-14 20:52:23,60.3964,-1.353,49.91,87,100,16.11
